# rawpaco: FPC RTL/FCL symbol table
# DO NOT EDIT BY HAND. Regenerate with: bash tools/gen_fpc_symbols.sh
# fpc-version: 3.2.2
# generated-from-target: x86_64-linux
# ppu-root: /usr/lib/x86_64-linux-gnu/fpc/3.2.2/units/x86_64-linux
# source-root: /usr/share/fpcsrc/3.2.2
#
# Format (tab separated):
#   U <unit> <strict|loose>   ... start of a unit block
#   G <name> <D|.> <message>  ... unit-level public symbol (D = deprecated)
#   M <name>                  ... other known name (class member, platform-only, ...)
U	system	loose
G	TFileTextRecChar	.	
G	TFloatSpecial	.	
G	TGetCurrentThreadIdHandler	.	
G	TGetLoadErrorStrHandler	.	
G	TGetProcAddressHandler	.	
G	TGetProcAddressOrdinalHandler	.	
G	TGuid	.	
G	THandle	.	
G	THeapStatus	.	
G	TInitThreadVarHandler	.	
G	TInterfacedClass	.	
G	TInterfacedObject	.	
G	TLibHandle	.	
G	TLineEndStr	.	
G	TLoadLibraryAHandler	.	
G	TLoadLibraryUHandler	.	
G	TMemoryManager	.	
G	TMethod	.	
G	TMsgStrTable	.	
G	TObject	.	
G	TOpaqueData	.	
G	TOrdinalEntry	.	
G	TPCharArray	.	
G	TProcedure	.	
G	TRTLCreateEventHandler	.	
G	TRTLCriticalSection	.	
G	TRTLEventHandler	.	
G	TRTLEventHandlerTimeout	.	
G	TReleaseThreadVarsHandler	.	
G	TRelocateThreadVarHandler	.	
G	TResourceHandle	.	
G	TResourceManager	.	
G	TResourceStringRecord	.	
G	TRuntimeError	.	
G	TSafeCallErrorProc	.	
G	TSemaphoreDestroyHandler	.	
G	TSemaphorePostHandler	.	
G	TSemaphoreWaitHandler	.	
G	TSempahoreInitHandler	.	
G	TSingleRec	.	
G	TStandardCodePageEnum	.	
G	TStringMessageTable	.	
G	TSystemCodePage	.	
G	TTextBuf	.	
G	TTextLineBreakStyle	.	
G	TThreadFunc	.	
G	TThreadGetPriorityHandler	.	
G	TThreadHandler	.	
G	TThreadID	.	
G	TThreadManager	.	
G	TThreadSetPriorityHandler	.	
G	TThreadSetThreadDebugNameHandlerA	.	
G	TThreadSetThreadDebugNameHandlerU	.	
G	TThreadSwitchHandler	.	
G	TTime	.	
G	TTypeKind	.	
G	TUCS4CharArray	.	
G	TUnicodeStringManager	.	
G	TUnloadLibraryHandler	.	
G	TVarRec	.	
G	TVmt	.	
G	TWaitForThreadTerminateHandler	.	
G	Text	.	
G	TextBuf	.	
G	TextFile	.	
G	TextRec	.	
G	TextRecBufSize	.	
G	TextRecNameLength	.	
G	ThreadGetPriority	.	
G	ThreadID	.	
G	ThreadSetPriority	.	
G	ThreadSwitch	.	
G	ThreadingAlreadyUsed	.	
G	ToSingleByteFileSystemEncodedFileName	.	
G	True	.	
G	Trunc	.	
G	Truncate	.	
G	TryEnterCriticalSection	.	
G	TypeInfo	.	
G	TypeOf	.	
G	TypedFile	.	
G	UCS2Char	.	
G	UCS4Char	.	
G	UCS4String	.	
G	UCS4StringToUnicodeString	.	
G	UCS4StringToWideString	.	
G	UInt16	.	
G	UInt32	.	
G	UInt64	.	
G	UInt8	.	
G	UIntPtr	.	
G	UTF8Char	.	
G	UTF8CompareLocale	.	
G	UTF8Decode	.	
G	UTF8Encode	.	
G	UTF8String	.	
G	UTF8ToString	.	
G	Unaligned	.	
G	Unassigned	.	
G	UnicodeChar	.	
G	UnicodeCharLenToStrVar	.	
G	UnicodeCharLenToString	.	
G	UnicodeCharToStrVar	.	
G	UnicodeCharToString	.	
G	UnicodeString	.	
G	UnicodeStringToUCS4String	.	
G	UnicodeToUtf8	.	
G	UniqueString	.	
G	UnixGetModuleByAddrHook	.	
G	UnloadLibrary	.	
G	UnlockResource	.	
G	Unpack	.	
G	UnusedHandle	.	
G	UpCase	.	
G	Utf8CodePointLen	.	
G	Utf8ToAnsi	.	
G	Utf8ToUnicode	.	
G	Val	.	
G	ValReal	.	
G	ValSInt	.	
G	ValUInt	.	
G	VarAddRefProc	.	
G	VarArrayGet	.	
G	VarArrayPut	.	
G	VarArrayRedim	.	
G	VarCast	.	
G	VarClearProc	.	
G	VarCopyProc	.	
G	VarToLStrProc	.	
G	VarToWStrProc	.	
G	Variant	.	
G	WChar	.	
G	WaitForThreadTerminate	.	
G	WideChar	.	
G	WideCharLenToStrVar	.	
G	WideCharLenToString	.	
G	WideCharToStrVar	.	
G	WideCharToString	.	
G	WideString	.	
G	WideStringToUCS4String	.	
G	Word	.	
G	WordBool	.	
G	Write	.	
G	WriteBarrier	.	
G	WriteErrorsToStdErr	.	
G	WriteLn	.	
G	WriteStr	.	
G	argc	.	
G	argv	.	
G	cExceptionFrame	.	
G	cFinalizeFrame	.	
G	coIgnoreCase	.	
G	envp	.	
G	etFieldValue	.	
G	etFieldValueClass	.	
G	etStandard	.	
G	etStaticMethodClass	.	
G	etStaticMethodResult	.	
G	etVirtualMethodClass	.	
